Parameter,Type,Min,Max,Default,Description,Example
Cost_To_Consumer,float,0,999999,0,"The unit cost per intervention distributed. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.",[link](../json/campaign-femalecontraceptive-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-femalecontraceptive-disqualifying-properties.json)
Dont_Allow_Duplicates,bool,NA,NA,0,"If set to true (1), does not allow any new interventions with matching **Intervention_Name** parameter value to be distributed to the individual.",[link](../json/campaign-femalecontraceptive-dont-allow-duplicates.json)
Intervention_Name,string,NA,NA,FemaleContraceptive,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-femalecontraceptive-intervention-name.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-femalecontraceptive-new-property-value.json)
Usage_Duration_Constant,float,0,3.40282E+38,6,"The duration value to use for all instances, in days, when **Usage_Duration_Distribution** is set to CONSTANT_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-constant.json)
Usage_Duration_Distribution,enum,NA,NA,NOT_INITIALIZED,"The distribution type to use for assigning the usage duration. For each contraceptive distributed, a randomly selected duration from this distribution will determine when the woman stops using the contraceptive. This is independent of how long the contraceptive is effective.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. This is not a valid option and will cause an error.<br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Usage_Duration_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a uniform distribution with a given minimum and maximum. Set **Usage_Duration_Max** and **Usage_Duration_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Usage_Duration_Gaussian_Mean** and **Usage_Duration_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is exponential with a given mean. Set **Usage_Duration_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a Weibull distribution with a given shape and scale. Set **Usage_Duration_Kappa** and **Usage_Duration_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a log-normal distribution with a given mean and width. Set **Usage_Duration_Log_Normal_Mu** and **Usage_Duration_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a Poisson distribution with a given mean. Set **Usage_Duration_Poisson_Mean**.<br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Usage_Duration_Proportion_0** and **Usage_Duration_Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two exponential distributions with given means. Set **Usage_Duration_Mean_1**, **Usage_Duration_Mean_2**, and **Usage_Duration_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-distribution.json)
Usage_Duration_Exponential,float,0,3.40282E+38,6,"The mean of the usage duration, in days, when **Usage_Duration_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-exponential.json)
Usage_Duration_Gaussian_Mean,float,0,3.40282E+38,6,"The mean of the usage duration, in days, when **Usage_Duration_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-gaussian-mean.json)
Usage_Duration_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,1,"The standard deviation of the usage duration, in days, when **Usage_Duration_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-gaussian-std-dev.json)
Usage_Duration_Kappa,float,1.17549E-38,3.40282E+38,1,"The shape value for the usage duration, in days, when **Usage_Duration_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-kappa.json)
Usage_Duration_Lambda,float,1.17549E-38,3.40282E+38,1,"The scale value for the usage duration, in days, when **Usage_Duration_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-lambda.json)
Usage_Duration_Log_Normal_Mu,float,-3.40282E+38,3.40282E+38,6,"The mean of the usage duration, in days, when **Usage_Duration_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-log-normal-mu.json)
Usage_Duration_Log_Normal_Sigma,float,-3.40282E+38,3.40282E+38,1,"The width of the usage duration, in days, when **Usage_Duration_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-log-normal-sigma.json)
Usage_Duration_Max,float,0,3.40282E+38,1,"The maximum usage duration, in days, when **Usage_Duration_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-max.json)
Usage_Duration_Mean_1,float,1.17549E-38,3.40282E+38,1,"The mean of the first exponential distribution, in days, when **Usage_Duration_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-mean-1.json)
Usage_Duration_Mean_2,float,1.17549E-38,3.40282E+38,1,"The mean of the second exponential distribution, in days, when **Usage_Duration_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-mean-2.json)
Usage_Duration_Min,float,0,3.40282E+38,0,"The minimum usage duration, in days, when **Usage_Duration_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-min.json)
Usage_Duration_Peak_2_Value,float,0,3.40282E+38,1,"The usage duration value to assign to the remaining individuals, in days, when **Usage_Duration_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-peak-2-value.json)
Usage_Duration_Poisson_Mean,float,0,3.40282E+38,6,"The mean of the usage duration, in days, when **Usage_Duration_Distribution** is set to POISSON_DISTRIBUTION.",[link](../json/campaign-femalecontraceptive-usage-duration-poisson-mean.json)
Usage_Duration_Proportion_0,float,0,1,1,The proportion of individuals to assign a value of zero days for usage duration when **Usage_Duration_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,[link](../json/campaign-femalecontraceptive-usage-duration-proportion-0.json)
Usage_Duration_Proportion_1,float,0,1,1,The proportion of individuals in the first exponential distribution when **Usage_Duration_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/campaign-femalecontraceptive-usage-duration-proportion-1.json)
Usage_Expiration_Event,string,NA,NA,"""""","When the woman stops using the contraceptive, this event will be broadcast. See [Event list](parameter-campaign-event-list.md) for possible built-in values, or create custom values using **Custom_Individual_Events** in the simulation configuration file.",[link](../json/campaign-femalecontraceptive-usage-expiration-event.json)
Waning_Config,json object,NA,NA,NA,A WaningEffect object used to control the efficacy of the contraceptive over time. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).,[link](../json/campaign-femalecontraceptive-waning-config.json)
